kabupaten,longitude,latitude,tahun,ipm
Bandung,107.52634,-7.010638,2014,69.06
Bandung,107.52634,-7.010638,2015,70.05
Bandung,107.52634,-7.010638,2016,70.69
Bandung Barat,107.491977,-6.865221,2014,64.27
Bandung Barat,107.491977,-6.865221,2015,65.23
Bandung Barat,107.491977,-6.865221,2016,65.81
Bangkalan,112.928523,-7.044695,2014,60.71
Bangkalan,112.928523,-7.044695,2015,61.49
Bangkalan,112.928523,-7.044695,2016,62.06
Banjarnegara,109.661573,-7.351769,2014,63.15
Banjarnegara,109.661573,-7.351769,2015,64.73
Banjarnegara,109.661573,-7.351769,2016,65.52
Bantul,110.359301,-7.903639,2014,77.11
Bantul,110.359301,-7.903639,2015,77.99
Bantul,110.359301,-7.903639,2016,78.42
Banyumas,109.174515,-7.453618,2014,69.25
Banyumas,109.174515,-7.453618,2015,69.89
Banyumas,109.174515,-7.453618,2016,70.49
Banyuwangi,114.208744,-8.364264,2014,67.31
Banyuwangi,114.208744,-8.364264,2015,68.08
Banyuwangi,114.208744,-8.364264,2016,69
Batang,109.875138,-7.017728,2014,64.07
Batang,109.875138,-7.017728,2015,65.46
Batang,109.875138,-7.017728,2016,66.38
Bekasi,107.123797,-6.213739,2014,70.51
Bekasi,107.123797,-6.213739,2015,71.19
Bekasi,107.123797,-6.213739,2016,71.83
Blitar,112.236429,-8.131993,2014,66.88
Blitar,112.236429,-8.131993,2015,68.13
Blitar,112.236429,-8.131993,2016,68.88
Blora,111.384769,-7.074349,2014,65.84
Blora,111.384769,-7.074349,2015,66.22
Blora,111.384769,-7.074349,2016,66.61
Bogor,106.767415,-6.559089,2014,67.36
Bogor,106.767415,-6.559089,2015,67.77
Bogor,106.767415,-6.559089,2016,68.32
Bojonegoro,111.806065,-7.255133,2014,65.27
Bojonegoro,111.806065,-7.255133,2015,66.17
Bojonegoro,111.806065,-7.255133,2016,66.73
Bondowoso,113.945799,-7.941696,2014,63.43
Bondowoso,113.945799,-7.941696,2015,63.95
Bondowoso,113.945799,-7.941696,2016,64.52
Boyolali,108.929614,-7.058331,2014,70.34
Boyolali,108.929614,-7.058331,2015,71.74
Boyolali,108.929614,-7.058331,2016,72.18
Brebes,114.964439,-8.200654,2014,62.55
Brebes,114.964439,-8.200654,2015,63.18
Brebes,114.964439,-8.200654,2016,63.98
Ciamis,108.465839,-7.434354,2014,67.64
Ciamis,108.465839,-7.434354,2015,68.02
